1981 census - small area statistics,,
ONS Crown Copyright Reserved [from Nomis on 6 May 2026],,
,,
date,1981,
,,
1981 frozen ward,All Present residents : Total persons,All Absent residents : Total persons
Biscot,"10,752",119
Bramingham,"7,379",46
Challney,"10,375",115
Crawley,"10,284",47
Dallow,"10,820",81
Farley,"9,471",51
High Town,"8,897",64
Icknield,"9,621",115
Leagrave,"11,069",77
Lewsey,"11,461",95
Limbury,"10,064",71
Putteridge,"10,914",81
Saints,"10,303",76
South,"9,370",81
Stopsley,"9,411",66
Sundon Park,"11,731",102
Ampthill,"5,690",74
Arlesey,"3,895",38
Aspley,"3,028",88
Biggleswade Ivel,"5,589",64
Biggleswade Stratton,"5,190",62
Blunham,"1,925",42
Campton and Meppershall,"3,593",58
Clifton and Henlow,"5,600",82
Clophill,"1,644",35
Cranfield,"4,242",49
Flitton and Pulloxhill,"1,776",29
Flitwick East,"4,630",21
Flitwick West,"3,971",30
Harlington,"2,399",26
Haynes and Houghton Conquest,"2,329",23
Langford,"2,574",21
Marston,"4,500",18
Maulden,"2,513",23
Northill,"2,133",10
Old Warden and Southill,"1,361",5
Potton,"4,060",14
Sandy All Saints,"3,689",11
Sandy St. Swithuns,"4,338",31
Shefford,"3,087",18
Shillington and Stondon,"3,245",20
Stotfold,"6,775",30
Wensley,"1,657",10
Westoning,"1,811",10
Woburn,"1,649",11
Wrest,"1,689",29
North Bedfordshire No.1,"8,655",60
North Bedfordshire No.2,"16,148",260
North Bedfordshire No.3,"15,904",172
North Bedfordshire No.4,"9,483",82
North Bedfordshire No.5,"7,437",41
North Bedfordshire No.6,"8,165",66
North Bedfordshire No.7,"6,915",77
North Bedfordshire No.8,"4,692",83
North Bedfordshire No.9,"3,683",40
North Bedfordshire No.10,"2,895",62
North Bedfordshire No.11,"2,398",40
North Bedfordshire No.12,"2,422",74
North Bedfordshire No.13,"1,707",26
North Bedfordshire No.14,"1,678",19
North Bedfordshire No.15,"2,578",44
North Bedfordshire No.16,"2,143",15
North Bedfordshire No.17,"1,953",17
North Bedfordshire No.18,"2,465",17
North Bedfordshire No.19,"2,664",32
North Bedfordshire No.20,"2,899",27
North Bedfordshire No.21,"2,223",30
North Bedfordshire No.22,"3,471",24
North Bedfordshire No.23,"1,926",9
North Bedfordshire No.24,"15,373",81
Barton-le-Clay,"3,685",29
Beaudesert,"5,144",46
Brooklands,"7,360",41
Caddington,"4,447",7
Dunstable Central,"6,183",64
Eaton Bray,"2,061",13
Heath and Reach,"1,243",9
Hockliffe,"2,411",16
Houghton Central,"5,852",61
Houghton East,"4,966",46
Houghton South,"5,390",51
Kensworth,"3,222",40
Linslade,"5,039",50
Northfields,"5,309",30
Plantation,"6,196",54
Priory,"5,386",41
Slip End,"2,337",22
Southcott,"5,809",40
Stanbridge,"1,571",18
Streatley,"1,641",21
Studham,"1,586",35
Toddington,"3,692",42
Totternhoe,"1,599",11
Watling,"6,122",20
Ascot,"5,105",67
Binfield,"3,065",26
Bullbrook,"6,613",108
College Town,"3,564",35
Cranbourne,"1,378",10
Crowthorne,"6,283",77
Garth,"3,824",55
Great Hollands North,"4,838",47
Great Hollands South,"4,261",64
Hanworth,"8,547",100
Harmanswater,"7,591",54
Little Sandhurst,"3,899",59
Old Bracknell,"5,543",32
Owlsmoor,"2,783",45
Priestwood,"3,774",24
St. Mary's,"1,354",31
Sandhurst,"3,095",59
Warfield,"1,577",32
Wildridings,"3,170",36
Newbury No.1,"9,073",85
Newbury No.2,"7,394",80
Newbury No.3,"9,493",74
Newbury No.4,"1,312",18
Newbury No.5,"1,543",17
Newbury No.6,"1,322",27
Newbury No.7,"3,902",27
Newbury No.8,"1,760",39
Newbury No.9,"2,267",33
Newbury No.10,"3,841",21
Newbury No.11,"2,083",9
Newbury No.12,"2,439",20
Newbury No.13,"2,084",20
Newbury No.14,"2,900",45
Newbury No.15,"3,995",54
Newbury No.16,"1,929",34
Newbury No.17,"4,434",47
Newbury No.18,"5,034",24
Newbury No.19,"7,009",61
Newbury No.20,810,25
Newbury No.21,"1,261",14
Newbury No.22,"4,740",84
Newbury No.23,"2,383",44
Newbury No.24,"3,465",57
Newbury No.25,"1,415",22
Newbury No.26,"1,450",30
Newbury No.27,"1,843",27
Newbury No.28,"1,824",46
Newbury No.29,"3,133",34
Newbury No.30,"2,591",28
Newbury No.31,"1,691",26
Newbury No.32,"4,802",42
Newbury No.33,"4,175",22
Newbury No.34,"5,686",52
Newbury No.35,"1,726",16
Newbury No.36,"1,612",15
Abbey,"3,051",29
Battle,"5,157",47
Castle,"7,031",72
Caversham,"7,871",29
Caversham Park,"5,692",52
Christchurch,"10,834",85
Katesgrove,"5,839",68
Minster,"14,534",178
Norcot,"16,545",133
Park,"8,299",68
Redlands,"6,582",82
Thames,"13,767",256
Tilehurst,"14,200",198
Whitley,"10,098",94
Britwell,"5,414",56
Burnham North,"8,537",84
Burnham South,"7,007",47
Central North,"7,847",48
Central South,"4,127",71
Chalvey,"10,137",139
Farnham North,"7,800",90
Farnham South,"6,173",85
Langley,"21,368",263
Stoke North,"4,888",47
Stoke South,"3,925",37
Upton,"4,243",35
Wexham Court,"4,205",42
Windsor and Maidenhead No.1,"6,126",124
Windsor and Maidenhead No.2,"13,165",235
Windsor and Maidenhead No.3,"12,242",174
Windsor and Maidenhead No.4,"7,111",96
Windsor and Maidenhead No.5,"9,434",113
Windsor and Maidenhead No.6,"4,429",50
Windsor and Maidenhead No.7,"6,386",42
Windsor and Maidenhead No.8,"6,201",55
Windsor and Maidenhead No.9,"4,974",68
Windsor and Maidenhead No.10,"5,841",54
Windsor and Maidenhead No.11,"2,381",13
Windsor and Maidenhead No.12,"1,094",23
Windsor and Maidenhead No.13,"9,146",217
Windsor and Maidenhead No.14,"6,803",111
Windsor and Maidenhead No.15,"6,308",126
Windsor and Maidenhead No.16,"3,555",73
Windsor and Maidenhead No.17,"4,202",95
Windsor and Maidenhead No.18,"5,162",113
Windsor and Maidenhead No.19,"5,801",139
Windsor and Maidenhead No.20,"6,828",135
Arborfield,"2,266",32
Barkham,"2,602",19
Bulmershe,"4,954",45
California,"4,033",53
Charvil,"1,843",23
Coronation,"6,950",83
Emmbrook,"5,953",75
Evendons,"6,144",48
Finchampstead,"5,267",84
Hurst,"1,555",11
Little Hungerford,"5,803",68
Loddon,"6,041",43
Norreys,"6,874",51
Redhatch,"5,441",73
Remenham and Wargrave,"4,426",64
St. Sebastian's,"5,514",81
Shinfield,"6,259",78
Sonning,"1,386",34
South Lake,"5,980",39
Swallowfield,"2,169",27
Twyford and Ruscombe,"5,958",111
Wescott,"4,928",111
Whitegates,"3,248",36
Winnersh,"6,050",110
Aston Clinton,"3,764",80
Aylesbury Central,"2,269",45
Bedgrove,"7,207",161
Bierton,"1,960",42
Brill,"1,607",45
Buckingham North,"3,559",79
Buckingham South,"3,591",55
Cheddington,"2,298",31
Edlesborough,"2,558",33
Elmhurst,"5,030",44
Gatehouse,"3,500",35
Grange,"4,518",68
Great Brickhill,"1,919",39
Great Horwood,"2,107",31
Grendon Underwood,"2,240",33
Haddenham,"4,905",72
Hogshaw,"1,704",32
Long Crendon,"2,295",41
Luffield Abbey,"1,714",51
Mandeville,"7,919",68
Marsh Gibbon,"2,257",31
Meadowcroft,"5,332",68
Newton Longville,"1,884",18
Oakfield,"4,548",53
Oakley,"2,265",30
Pitstone,"2,473",44
Quainton,"2,253",32
Southcourt,"6,472",55
Steeple Claydon,"2,232",48
Stewkley,"2,377",45
Stone,"4,401",84
Tingewick,"1,800",26
Waddesdon,"1,920",20
Wendover,"9,236",114
Weston Turville,"4,754",75
Wing,"2,670",32
Wingrave,"1,736",24
Winslow,"3,544",69
Amersham Common,"3,252",81
Amersham-on-the-Hill,"4,699",80
Amersham Town,"3,757",53
Asheridge Vale,"1,695",22
Ashley Green and Latimer,"1,985",47
Austenwood,"3,976",77
Ballinger and South Heath,"1,218",33
Chalfont Common,"3,953",109
Chalfont St. Giles,"6,154",180
Chalfont St. Peter Central,"2,074",95
Chartridge,"1,744",40
Chenies,"2,172",78
Chesham Bois and Weedon Hill,"4,036",157
Cholesbury and the Lee,"1,523",11
Coleshill and Penn Street,"1,318",35
Gold Hill,"2,516",44
Great Missenden,"1,984",58
Hilltop,"1,630",28
Holmer Green,"3,859",47
Little Chalfont,"4,009",84
Little Missenden,"2,525",54
Lowndes,"1,992",30
Newtown,"3,917",35
Penn,"3,534",131
Pond Park,"3,439",42
Prestwood and Heath End,"6,535",87
Seer Green and Jordans,"2,577",84
Townsend,"3,252",46
Waterside,"3,366",30
Bradwell,"4,891",44
Church Green,"1,489",20
Danesborough,"1,869",33
Denbigh,"8,224",79
Eaton,"6,569",60
Fenny Stratford,"10,114",97
Lavendon,"1,889",12
Linford,"11,715",131
Loughton,"1,636",24
Manor Farm,"3,981",40
Newport Pagnell,"10,634",99
Newton,"3,831",44
Olney,"4,325",57
Pineham,"5,525",95
Sherington,"2,220",44
Stantonbury,"7,643",94
Stony Stratford,"8,405",61
Whaddon,"7,581",67
Woburn Sands,"2,149",24
Wolverton,"7,787",69
Wolverton Stacey Bushes,"2,729",27
Woughton,"6,810",59
South Buckinghamshire No.1,"4,054",156
South Buckinghamshire No.2,"3,261",82
South Buckinghamshire No.3,"3,290",101
South Buckinghamshire No.4,"6,136",120
South Buckinghamshire No.5,"4,869",58
South Buckinghamshire No.6,"6,828",109
South Buckinghamshire No.7,756,28
South Buckinghamshire No.8,"4,524",167
South Buckinghamshire No.9,481,20
South Buckinghamshire No.10,"6,441",247
South Buckinghamshire No.11,775,7
South Buckinghamshire No.12,"1,253",10
South Buckinghamshire No.13,"1,772",36
South Buckinghamshire No.14,"3,628",20
South Buckinghamshire No.15,"4,334",45
South Buckinghamshire No.16,"4,788",76
South Buckinghamshire No.17,"1,784",43
South Buckinghamshire No.18,"1,409",9
Wycombe No.1,"2,836",53
Wycombe No.2,"7,810",112
Wycombe No.3,"2,083",40
Wycombe No.4,"2,444",61
Wycombe No.5,"5,610",97
Wycombe No.6,"3,808",95
Wycombe No.7,"1,980",37
Wycombe No.8,"2,108",43
Wycombe No.9,"6,596",106
Wycombe No.10,"2,232",31
Wycombe No.11,"14,833",169
Wycombe No.12,"15,452",247
Wycombe No.13,"14,505",239
Wycombe No.14,"14,669",136
Wycombe No.15,"3,085",61
Wycombe No.16,"4,878",116
Wycombe No.17,"3,264",32
Wycombe No.18,"6,381",97
Wycombe No.19,"4,215",51
Wycombe No.20,"2,343",80
Wycombe No.21,"5,357",124
Wycombe No.22,"1,715",51
Wycombe No.23,"10,002",157
Wycombe No.24,"13,884",275
Elm Grove,"7,798",57
Falmer,"9,054",32
Hanover,"6,097",39
Hollingbury,"9,976",124
King's Cliff,"6,948",115
Lewes Road,"6,166",79
Montpelier,"5,602",97
Moulsecoomb,"7,035",64
Patcham,"8,022",74
Pier,"5,114",59
Preston,"8,875",133
Preston Park,"8,754",121
Queen's Park,"6,674",63
Regency,"5,042",95
Rottingdean,"8,302",103
St. Nicholas,"3,109",66
St. Peter's,"4,845",63
Stanmer,"10,049",83
Warren,"14,304",101
Devonshire,"6,535",44
Downside,"7,666",103
Hampden Park,"8,357",86
Langney,"8,495",81
Meads,"5,744",92
Ocklynge,"6,335",108
Ratton,"7,906",66
Roselands,"7,960",62
St. Anthony's,"7,504",51
Upperton,"6,821",82
Ashdown,"4,485",23
Braybrooke,"4,902",43
Broomgrove,"4,663",13
Central St. Leonards,"3,867",34
Elphinstone,"4,810",64
Gensing,"4,224",60
Hollington,"4,635",29
Maze Hill,"4,189",41
Mount Pleasant,"5,539",59
Old Hastings,"3,980",52
Ore,"5,164",64
St. Helens,"4,615",46
Silverhill,"4,774",30
West St. Leonards,"4,637",65
Wishing Tree,"4,998",25
Brunswick and Adelaide,"7,509",78
Goldsmid,"7,870",100
Hangleton,"8,899",81
Nevill,"8,821",67
Portslade North,"8,502",55
Portslade South,"9,201",73
Stanford,"7,945",205
Vallance,"7,750",90
Westbourne,"7,936",75
Wish,"8,092",69
Lewes No.1,"3,098",39
Lewes No.2,"5,278",79
Lewes No.3,"4,872",102
Lewes No.4,"9,651",102
Lewes No.5,"9,060",119
Lewes No.6,"8,147",112
Lewes No.7,"5,050",49
Lewes No.8,"4,246",32
Lewes No.9,"10,073",55
Lewes No.10,"1,654",18
Lewes No.11,"1,732",36
Lewes No.12,"2,001",15
Lewes No.13,"1,685",21
Lewes No.14,"2,285",34
Lewes No.15,"2,384",30
Lewes No.16,"1,395",27
Lewes No.17,"1,408",19
Lewes No.18,995,25
Lewes No.19,820,15
Rother No.1,"2,859",35
Rother No.2,"1,912",20
Rother No.3,"1,973",22
Rother No.4,"1,124",21
Rother No.5,"1,641",16
Rother No.6,"1,835",25
Rother No.7,"1,863",13
Rother No.8,"2,249",51
Rother No.9,"1,369",13
Rother No.10,"1,515",23
Rother No.11,"1,572",24
Rother No.12,"1,098",18
Rother No.13,"1,432",9
Rother No.14,"5,019",37
Rother No.15,"2,270",23
Rother No.16,"1,982",15
Rother No.17,"1,491",14
Rother No.18,"1,428",19
Rother No.19,"6,440",101
Rother No.20,"8,349",138
Rother No.21,"4,124",48
Rother No.22,"4,546",52
Rother No.23,"3,629",32
Rother No.24,"7,252",56
Rother No.25,"4,235",49
Wealden No.1,"4,714",44
Wealden No.2,"3,127",41
Wealden No.3,"2,249",4
Wealden No.4,"1,606",32
Wealden No.5,"4,439",33
Wealden No.6,"3,695",47
Wealden No.7,"1,642",8
Wealden No.8,"2,593",19
Wealden No.9,"2,518",17
Wealden No.10,"6,726",51
Wealden No.11,"5,787",53
Wealden No.12,"1,448",23
Wealden No.13,"1,722",36
Wealden No.14,"1,942",19
Wealden No.15,"12,583",92
Wealden No.16,"3,809",79
Wealden No.17,"14,802",249
Wealden No.18,"1,414",37
Wealden No.19,"1,519",38
Wealden No.20,"4,106",140
Wealden No.21,"1,886",48
Wealden No.22,"1,319",34
Wealden No.23,929,14
Wealden No.24,"2,031",67
Wealden No.25,"3,373",79
Wealden No.26,"3,161",81
Wealden No.27,"2,895",72
Wealden No.28,"7,617",82
Wealden No.29,"4,315",73
Wealden No.30,"4,044",76
Billericay East,"11,527",156
Billericay West,"9,833",119
Burstead,"10,920",121
Fryerns Central,"11,871",107
Fryerns East,"11,733",116
