1991 census - small area statistics,,,,
ONS Crown Copyright Reserved [from Nomis on 6 May 2026],,,,
,,,,
date,1991,,,
,,,,
1991 frozen ward,S01:1 (Present residents : Total persons ),S01:8 (Absent residents (part of household present) : Total persons ),S01:15 (Absent residents (wholly absent household - enumerated) : Total persons ),S01:22 (Absent residents (wholly absent household - imputed) : Total persons )
09UBFA Biscot,"10,621",202,85,745
09UBFB Bramingham,"11,936",166,141,454
09UBFC Challney,"9,847",134,99,123
09UBFD Crawley,"10,288",150,107,116
09UBFE Dallow,"9,599",151,107,547
09UBFF Farley,"8,864",85,63,399
09UBFG High Town,"8,326",112,128,395
09UBFH Icknield,"10,396",210,137,246
09UBFJ Leagrave,"9,893",109,98,271
09UBFK Lewsey,"12,233",126,135,213
09UBFL Limbury,"9,133",130,99,93
09UBFM Putteridge,"13,676",180,146,121
09UBFN Saints,"10,185",161,86,174
09UBFP South,"8,852",110,132,342
09UBFQ Stopsley,"9,115",147,112,98
09UBFR Sundon Park,"10,202",100,81,139
09UCFA Ampthill,"5,987",116,74,53
09UCFB Arlesey,"4,221",60,64,29
09UCFC Aspley,"3,147",108,77,37
09UCFD Biggleswade Ivel,"6,362",76,106,45
09UCFE Biggleswade Stratton,"6,181",98,69,24
09UCFF Blunham,"1,979",42,17,11
09UCFG Campton And Meppershall,"3,611",75,25,33
09UCFH Clifton And Henlow,"5,662",177,95,57
09UCFJ Clophill,"1,618",31,21,10
09UCFK Cranfield,"4,150",86,45,51
09UCFL Flitton And Pulloxhill,"1,751",39,21,7
09UCFM Flitwick East,"5,020",70,70,29
09UCFN Flitwick West,"5,861",92,92,49
09UCFP Harlington,"2,228",40,25,7
09UCFQ Haynes And Houghton Conquest,"2,361",54,25,2
09UCFR Langford,"2,644",59,41,16
09UCFS Marston,"4,102",41,53,33
09UCFT Maulden,"2,540",73,19,22
09UCFU Northill,"2,084",50,27,23
09UCFW Old Warden And Southill,"1,243",28,17,9
09UCFX Potton,"4,543",89,55,18
09UCFY Sandy All Saints,"3,763",69,40,24
09UCFZ Sandy St.Swithuns,"4,908",64,70,51
09UCGA Shefford,"3,196",41,37,45
09UCGB Shillington and Stondon,"3,209",50,56,43
09UCGC Stotfold,"6,300",107,94,50
09UCGD Wensley,"1,677",37,17,13
09UCGE Westoning,"1,759",32,32,4
09UCGF Woburn,"1,452",45,30,16
09UCGG Wrest,"1,967",47,37,17
09UDFA Brickhill,"7,505",194,92,34
09UDFB Bromham,"4,893",139,89,29
09UDFC Carlton,"2,045",62,31,17
09UDFD Castle,"5,355",118,112,73
09UDFE Cauldwell,"7,960",109,75,131
09UDFF Clapham,"3,390",49,42,20
09UDFG De Parys,"6,721",168,119,108
09UDFH Eastcotts,"2,797",39,28,23
09UDFJ Felmersham,"2,139",76,26,10
09UDFK Goldington,"7,343",76,54,93
09UDFL Great Barford,"2,442",44,30,35
09UDFM Harpur,"6,570",102,127,127
09UDFN Harrold,"2,496",76,45,18
09UDFP Kempston East,"9,603",112,112,83
09UDFQ Kempston Rural,"2,501",64,40,36
09UDFR Kempston West,"8,052",102,87,82
09UDFS Kingsbrook,"7,057",71,49,88
09UDFT Newnham,"4,820",72,45,32
09UDFU Oakley,"2,280",66,25,4
09UDFW Putnoe,"7,044",211,63,25
09UDFX Queens Park,"8,211",140,89,252
09UDFY Renhold,"2,123",48,31,18
09UDFZ Riseley,"2,635",77,26,13
09UDGA Roxton,"2,354",59,24,11
09UDGB Sharnbrook,"2,382",96,58,19
09UDGC Wilshamstead,"2,852",46,46,13
09UDGD Wootton,"4,605",68,56,18
09UEFA Barton-Le-Clay,"3,386",44,39,19
09UEFB Beaudesert,"5,363",94,85,69
09UEFC Brooklands,"8,691",110,84,73
09UEFD Caddington,"3,538",61,40,40
09UEFE Dunstable Central,"7,005",108,79,136
09UEFF Eaton Bray,"2,257",43,42,25
09UEFG Heath And Reach,"1,297",25,16,2
09UEFH Hockliffe,"1,390",40,20,1
09UEFJ Houghton Central,"5,364",72,38,39
09UEFK Houghton East,"5,750",91,73,61
09UEFL Houghton South,"4,481",45,44,46
09UEFM Icknield,"6,271",91,67,47
09UEFN Kensworth,"1,489",34,38,23
09UEFP Linslade,"5,180",131,59,19
09UEFQ Northfields,"6,892",61,48,37
09UEFR Plantation,"6,059",168,96,19
09UEFS Priory,"5,501",88,62,46
09UEFT Slip End,"2,253",34,40,21
09UEFU Southcott,"6,096",103,58,53
09UEFW Stanbridge,"1,416",39,11,30
09UEFX Streatley,"1,541",37,39,11
09UEFY Studham,"1,591",59,29,18
09UEFZ Toddington,"3,860",80,36,23
09UEGA Totternhoe,"1,259",31,20,2
09UEGB Watling,"7,051",136,75,37
10UBFA Ascot,"10,074",238,202,241
10UBFB Binfield,"4,931",138,97,72
10UBFC Bullbrook,"6,367",166,103,89
10UBFD College Town,"5,040",129,177,68
10UBFE Cranbourne,"1,262",59,35,44
10UBFF Crowthorne,"5,405",169,66,45
10UBFG Garth,"3,729",104,35,31
10UBFH Great Hollands North,"4,886",99,64,79
10UBFJ Great Hollands South,"5,042",104,65,45
10UBFK Hanworth,"8,204",126,96,134
