Name,Closed,Location,District/ county,Region,lat,lon,Type,Total capacity (MW),Opened,Years Operational,Post Closure Land use?,Remediation Type,Site Area (ha),Waste Type,annual_rainfall_mm,ash_lagoon_ha_final,species_before,species_5yr,species_10yr,species_20yr,species_now,contamination_index,contamination_level,soil_ph,soil_pb_mgkg,soil_as_mgkg,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km
Acton Lane B,1983,North Acton,Ealing,Greater London,51.53055556,-0.2558333333,Coal,150,1950,33,Brownfield,Partial,45,Very High Hazard,653.1,22.5,306,295,508,833,1686,0.168,Low,5.1,142,0,0.973,0.973,2.432,3.9,,1.262,1.262,3.9,3.9,
Agecroft A,1992,Pendlebury,Salford,North West,53.51527778,-2.300833333,Coal,100,1925,67,Redeveloped,Partial,30,Very High Hazard,971.3,19,214,176,164,431,1186,0.188,Low,4,206,0,0.071,0.071,0.071,0.071,,0.025,0.025,0.025,0.112,
Agecroft B,1992,Pendlebury,Salford,North West,53.51527778,-2.300833333,Coal,120,1962,30,Redeveloped,Partial,36,Very High Hazard,971.3,19,214,176,164,431,1186,0.188,Low,4,206,0,0.071,0.071,0.071,0.071,,0.025,0.025,0.025,0.112,
Agecroft C,1992,Pendlebury,Salford,North West,53.51527778,-2.300833333,Coal,240,1962,30,Redeveloped,Partial,72,Very High Hazard,971.3,19,214,176,164,431,1186,0.188,Low,4,206,0,0.071,0.071,0.071,0.071,,0.025,0.025,0.025,0.112,
Ashford B,1981,Ashford,Kent,South East,51.14555556,0.8688888889,Diesel,10,1954,27,Remediation then redevelopment,Partial,0.4,Medium Hazard,659.8,,198,397,289,397,1050,0.149,Low,4.3,42,0,0.15,1.354,1.354,1.503,,0.785,0.95,1.503,1.503,
Bankside B,1981,Bankside,Southwark,Greater London,51.50694444,-0.09861111111,Oil,300,1952,29,Redeveloped,Full,30,High Hazard,640.7,,249,151,221,303,2038,0.151,Low,4,206,0,0.15,0.15,0.15,0.15,,0.15,0.15,0.15,0.15,8.377
Barking C,1981,Creekmouth,Barking and Dagenham,Greater London,51.51638889,0.1111111111,Coal,220,1954,27,Remediation,Full,66,Very High Hazard,640.7,33,123,270,218,482,1134,0.115,Low,6,104,0,0.146,0.146,0.146,0.177,0.246,0.177,0.177,0.177,0.177,0.226
Barking Reach,2016,Dagenham,Barking and Dagenham,Greater London,51.52111111,0.1469444444,CCGT,1000,1995,21,Redeveloped,Full,75,Low Hazard,620.3,,547,1411,,,1126,0.115,Low,6,104,0,0.168,0.168,0.168,0.168,,0.168,0.168,0.168,0.168,0.654
Battersea B,1983,Battersea,Wandsworth,Greater London,51.48166667,-0.1447222222,Coal,503,1955,28,Redeveloped,Full,150.9,Very High Hazard,653.1,75.5,131,212,202,537,2865,0.378,Low,5.8,807,0,0.19,0.19,0.19,0.19,,0.19,0.19,0.19,0.19,
Berkeley 1,1989,Berkeley,Gloucestershire,South West,51.6925,-2.493611111,Nuclear (magnox),138,1962,27,"Decomissioning, restricted site",Partial (nuclear),20.7,Extreme Hazard,713.8,,532,610,400,353,668,0.123,Low,6,73,0,0.18,0.18,0.18,2.857,0.318,0.18,0.18,0.23,1.738,0.318
Berkeley 2,1988,Berkeley,Gloucestershire,South West,51.6925,-2.493611111,Nuclear (magnox),138,1962,26,"Decomissioning, restricted site",Partial (nuclear),20.7,Extreme Hazard,706,,595,629,323,400,668,0.123,Low,6,73,0,0.18,0.18,0.18,2.857,0.318,0.18,0.18,0.23,1.738,0.318
Blackwall Point,1981,Greenwich Peninsula,Greenwich,Greater London,51.49777778,0.01138888889,Coal,100.5,1900,81,Redeveloped,Partial,30.1,Very High Hazard,640.7,15.1,136,106,143,375,1946,0.204,Low,7.1,301,0,0.079,0.079,0.079,0.079,6.876,0.112,0.112,0.112,0.112,0.711
Blyth A,1999,Cambois,Northumberland,North East,55.1425,-1.526944444,Coal,480,1958,41,Partially Demolished,Passive rewilding,144,Very High Hazard,598.3,72,259,279,504,844,763,0.127,Low,5.8,68,2,0.025,0.025,0.025,0.649,0.15,0.202,0.202,0.202,2.226,0.202
Blyth B,2001,Cambois,Northumberland,North East,,,Coal,1250,1962,39,Partially Demolished,Passive rewilding,375,Very High Hazard,,187.5,,,,,,,,,,,,,,,,,,,,
Bold,1990,Bold,Liverpool City Region,North West,53.43388889,-2.688333333,Coal,300,1960,30,Redeveloped,Partial,90,Very High Hazard,961.7,19.9,834,871,1418,1305,1166,0.147,Low,6.8,75,0,0.225,0.225,0.225,0.246,10.028,0.15,0.15,0.15,0.15,
Bradwell A,2002,Bradwell-on-Sea,Essex,East,51.74138889,0.8969444444,Nuclear (magnox),123,1962,40,"Decomissioning, restricted site",Partial (nuclear),18.4,Extreme Hazard,616.2,,497,433,656,548,511,0.182,Low,6.8,21,4.4,0.079,0.079,0.079,1.691,0.212,0.215,0.215,0.25,1.704,0.25
Brunswick Wharf,1984,Blackwall,Tower Hamlets,Greater London,51.50805556,0.001111111111,Coal+oil,340,1952,32,Redeveloped,Partial,102,Very High Hazard,651.5,51,139,115,265,457,2408,0.204,Low,7.1,301,0,0,0,0,0,7.426,0,0,0,0,1.747
Bulls Bridge,1993,Hayes,Hillingdon,Greater London,51.50194444,-0.4088888889,OCGT,280,1980,13,Redeveloped,Partial,42,Low Hazard,608,,72,211,305,438,987,0.209,Low,7.3,160,0,0.25,0.25,0.577,2.68,,0.2,0.2,0.326,1.562,
Calder Hall,2003,Seascale,Cumbria,North West,54.42055556,-3.4975,Nuclear (magnox),200,1956,47,"Decomissioning, restricted site",Partial (nuclear),30,Extreme Hazard,1448.5,,98,61,103,306,292,0.136,Low,5.8,38,4.8,0.175,0.175,0.175,3.26,0.175,0.656,0.656,0.91,2.312,5.209
Carrington Coal,1991,Carrington,Greater Manchester,North West,53.43583333,-2.410833333,Coal,240,1956,35,New energy site,Partial,72,Very High Hazard,954.3,9.3,144,499,674,686,1011,0.201,Low,5,200,0,0.146,0.146,0.146,0.2,,0.2,0.2,0.2,0.2,
Castle Donington,1995,Castle Donington,Leicestershire,East Midlands,52.84777778,-1.358611111,Coal,600,1958,37,Redeveloped,Partial,180,Very High Hazard,636.8,90,528,455,699,893,816,0.09,Low,5.7,30,0,0.546,0.546,0.546,0.61,,0.498,0.546,0.546,0.546,
Chadderton B,1982,Chadderton,Greater Manchester,North West,53.53166667,-2.165833333,Coal,240,1955,27,Redeveloped,Partial,72,Very High Hazard,997.1,36,16,42,65,396,749,0.419,Low,4.9,57,0,0.177,0.177,0.177,0.195,,0.453,0.846,1.061,2.457,
