Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,species_before,species_5yr,species_10yr,species_20yr,species_now
Acton Lane B,North Acton,Ealing,Greater London,51°31′50″N 0°15′21″W,Coal,150.0,1950.0,1983,33.0,Brownfield,Partial,,,,,,, ,51.53055555555555,-0.2558333333333333,45.0,estimated,306.0,295.0,508.0,833.0,1686.0
Agecroft A,Pendlebury,Salford,North West,53°30′55″N 2°18′03″W,Coal,100.0,1925.0,1992,67.0,Redeveloped,Partial,,,,,,,,53.515277777777776,-2.3008333333333333,30.0,estimated,214.0,176.0,164.0,431.0,1186.0
Agecroft B,Pendlebury,Salford,North West,53°30′55″N 2°18′03″W,Coal,120.0,1962.0,1992,30.0,Redeveloped,Partial,,,,,,,,53.515277777777776,-2.3008333333333333,36.0,estimated,214.0,176.0,164.0,431.0,1186.0
Agecroft C,Pendlebury,Salford,North West,53°30′55″N 2°18′03″W,Coal,240.0,1962.0,1992,30.0,Redeveloped,Partial,,,,,,,,53.515277777777776,-2.3008333333333333,72.0,estimated,214.0,176.0,164.0,431.0,1186.0
Ashford B,Ashford,Kent,South East,51°08′44″N 0°52′08″E,Diesel,10.0,1954.0,1981,27.0,Remediation then redevelopment,Partial,,,,,,,,51.14555555555555,0.8688888888888889,0.4,OSMnx,198.0,397.0,289.0,397.0,1050.0
Bankside B,Bankside,Southwark,Greater London,51°30′25″N 0°05′55″W,Oil,300.0,1952.0,1981,29.0,Redeveloped,Full,,,,,,,,51.50694444444444,-0.0986111111111111,30.0,estimated,249.0,151.0,221.0,303.0,2038.0
Barking C,Creekmouth,Barking and Dagenham,Greater London,51°30′59″N 0°06′40″E,Coal,220.0,1954.0,1981,27.0,Remediation,Full,,,,,,,,51.51638888888889,0.1111111111111111,66.0,estimated,123.0,270.0,218.0,482.0,1134.0
Barking Reach,Dagenham,Barking and Dagenham,Greater London,51°31′16″N 0°08′49″E,CCGT,1000.0,1995.0,2016,21.0,Redeveloped,Full,,,,,,,,51.52111111111111,0.1469444444444444,75.0,estimated,547.0,1411.0,,,1126.0
Battersea B,Battersea,Wandsworth,Greater London,51°28′54″N 0°08′41″W,Coal,503.0,1955.0,1983,28.0,Redeveloped,Full,,,,,,,,51.48166666666667,-0.1447222222222222,150.9,estimated,131.0,212.0,202.0,537.0,2865.0
Berkeley 1,Berkeley,Gloucestershire,South West,51°41′33″N 2°29′37″W,Nuclear (magnox),138.0,1962.0,1989,27.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.692499999999995,-2.493611111111111,20.7,estimated,532.0,610.0,400.0,353.0,668.0
