ANNEX VI: LPS data for each relevant aggregated Gridding NFR sectors (GNFR),,,,,,,,,,,,,,,,,,,
NFR 2014-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
COUNTRY:,GB,(as ISO2 code),,,,,,,,,,,,,,,,,
DATE:,30/4/2025,(as DD.MM.YYYY),,,,,,,,,,,,,,,,,
YEAR:,2023,"(as YYYY, year of emissions data)",,,,,,,,,,,,,,,,,
Version:,v1.0,(as v1.0 for the initial submission),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Description of table columns:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,"LPS: Unique name of a group of sources within a limited area: A set of LPS, NFR and height class must only appear once.",,,,,,,,,,,,,,,,,,
,"Naming conventions to be used are: A – Z, a-z, 0-9 and comma, dot and space (not tabulator).",,,,,,,,,,,,,,,,,,
2,"GNFR means relevant Gridded NFR category (aggregated according to Table III B in the Guidelines). GNFRs must be named A_PublicPower, B_Industry, C_OtherStationaryComb, D_Fugitive, E_Solvents, F_RoadTransport, G_Shipping, H_Aviation, I_Offroad, J_Waste, K_AgriLivestock, L_AgriOther, M_Other, N_Natural, O_AviCruise, P_IntShipping, z_Memo",,,,,,,,,,,,,,,,,,
3,E-PRTR/PRTR Facility ID (optional),,,,,,,,,,,,,,,,,,
4,Height classes (physical height of stacks).,,,,,,,,,,,,,,,,,,
,1. Height class 1 < 45 metres,,,,,,,,,,,,,,,,,,
,2. 45 metres ≤ Height class 2 < 100 metres,,,,,,,,,,,,,,,,,,
,3. 100 metres ≤ Height class 3 < 150 metres,,,,,,,,,,,,,,,,,,
,4. 150 metres ≤ Height class 4 < 200 metres,,,,,,,,,,,,,,,,,,
,5. Height class 5 ³ 200 metres,,,,,,,,,,,,,,,,,,
5 & 6,Longitude and latitude are both given as degrees with decimal digits (i.e. 50.500 corresponds to 50 degree and 30 minutes).  There must be exactly three digits after the decimal point. Two LPS named differently cannot have the same longitude and latitude.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LPS,GNFR,"E-PRTR/ PRTR 
Facility ID",Height class (1-5),Longitude,Latitude,NOx (as NO2),NMVOC,SOx (as SO2),NH3,PM2.5,PM10,CO,Pb,Cd,Hg,PCDD/ PCDF (dioxins/ furans),PAHs,HCB,PCBs
,,,,deg,deg,kt,kt,kt,kt,kt,kt,kt,t,t,t,g I-Teq,t,kg,kg
11058_Great Yarmouth Power Station,A_PublicPower,,2,1.732236537,52.58475328,0.2093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11066_Marchwood  Power  Station,A_PublicPower,,1,-1.438271664,50.89802698,0.1773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11067_Staythorpe Power Station,A_PublicPower,,2,-0.8598410978,53.07101921,0.87735,NA,NA,NA,NA,NA,0.7685,NA,NA,NA,NA,NA,NA,NA
11068_Pembroke Power Station,A_PublicPower,,2,-5.000186966,51.68379516,0.92708,NA,NA,NA,NA,NA,1.040182,NA,NA,NA,NA,NA,NA,NA
12130_Wilton Power Station,A_PublicPower,,2,-1.120836986,54.58972666,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12144_Margam,A_PublicPower,,1,-3.745943775,51.56158424,0.1731558959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12169_Newhaven EfW Plant,A_PublicPower,,2,0.04925235286,50.80224834,0.209296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12233_Belvedere,A_PublicPower,,2,0.1554217701,51.50514356,0.88335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13087_Colnbrook,A_PublicPower,,2,-0.5064810972,51.48513639,0.347497,NA,NA,NA,NA,NA,NA,NA,NA,0.0143,NA,NA,NA,NA
13256_Markinch,A_PublicPower,,2,-3.163629192,56.19972089,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13436_Lynemouth Power Station,A_PublicPower,,3,-1.521897692,55.20277176,0.406,NA,NA,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA
14063_Lincolnshire EfW Facility,A_PublicPower,,2,-0.5950367697,53.19943751,0.189729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14070_Four Ashes Energy Recovery Facility,A_PublicPower,,2,-2.114570345,52.67271109,0.387439,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
14199_Blackburn Meadows Renewable Energy Plant,A_PublicPower,,2,-1.406356532,53.41926621,0.253503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14360_Ipswich,A_PublicPower,,2,1.098523977,52.10397145,0.3723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14363_Battlefield EfW,A_PublicPower,,2,-2.727523558,52.74101244,0.132568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14378_Cardiff EfW Facility,A_PublicPower,,2,-3.150045814,51.47272657,0.563875,NA,NA,NA,NA,NA,NA,NA,NA,0.0208,0.106,NA,NA,NA
14427_Ratcliffe on Soar Power Station,A_PublicPower,,4,-1.254259029,52.86603875,1.66,NA,1.38,NA,NA,NA,4.29,NA,NA,0.014,NA,NA,NA,0.1325727108
14430_Cottam Development Centre,A_PublicPower,,3,-0.7783833863,53.3061841,0.42957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14431_Enfield Power Station,A_PublicPower,,2,-0.02355068234,51.66143956,0.55321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14432_Grain CCGT,A_PublicPower,,2,0.712821583,51.44437508,0.41005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14452_Connahs Quay Power Station,A_PublicPower,,2,-3.09136338,53.23328083,0.33792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14581_Ferrybridge MF1,A_PublicPower,,3,-1.281728213,53.71673988,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA
14641_Lisahally Power Station,A_PublicPower,,2,-7.257162785,55.04156763,0.197631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14649_Carrington CCGT,A_PublicPower,,3,-2.403539275,53.43343262,0.5288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14668_Damhead Creek Power Station,A_PublicPower,,2,0.6014895995,51.42522509,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14669_Shoreham Power Station,A_PublicPower,,3,-0.2160490474,50.82811976,0.3184331598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14715_Snetterton Biomass Plant,A_PublicPower,,2,0.9544703373,52.47990273,0.3214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14740_Brigg Renewable Energy Plant,A_PublicPower,,3,-0.5117143457,53.54254296,0.2880328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14749_Leeds RERF,A_PublicPower,,2,-1.503491947,53.78725185,0.198148,NA,NA,0.0105646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14820_Greatmoor EfW,A_PublicPower,,2,-0.9797690689,51.89572437,0.25538233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14839_Devonport EfW CHP Facility,A_PublicPower,,2,-4.186348486,50.39591259,0.19564206,NA,NA,NA,NA,NA,NA,NA,NA,0.0118,NA,NA,NA,NA
14841_Wilton 11 EfW Plant,A_PublicPower,,2,-1.122533213,54.59000858,0.436741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14856_Severnside Energy Recovery Centre,A_PublicPower,,2,-2.653400039,51.52896766,0.3843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14888_Riverside STW CHP,A_PublicPower,,1,0.1809875506,51.51786344,0.1350137779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14893_Minworth STW CHP April 2016,A_PublicPower,,1,-1.116751335,52.69665434,0.1431656645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2599_Dundee,A_PublicPower,,2,-2.900674563,56.48341262,0.2930561,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2564332293,NA,NA,NA
3960_Arpley Landfill Site,A_PublicPower,,1,-2.629257834,53.37248367,0.1146023714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40138_Cornwall Energy Recovery Centre,A_PublicPower,,2,-4.8912823,50.37664818,0.25672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40232_Mercia Envirecover Site,A_PublicPower,,2,-2.207432834,52.32647193,0.1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40357_Widnes Biomass Facility,A_PublicPower,,2,-2.751304679,53.35456404,0.199131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40419_Beddington Energy Recovery Facility,A_PublicPower,,2,-0.142940754,51.38965704,0.3692681065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40464_Millerhill Recycling & Energy Recovery Centre,A_PublicPower,,2,-3.085928252,55.92507652,0.21290235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40530_Steven's Croft Power Station,A_PublicPower,,1,-3.383073653,55.15651038,0.290427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40602_Allerton Waste Recovery Park Allerton Park Quarry North Yorkshire,A_PublicPower,,2,-1.381923331,54.03321751,0.373684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40606_Discovery Park off Ramsgate Road Kent,A_PublicPower,,2,1.347718524,51.29102814,0.2546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40644_Stranglands Lane West Yorkshire,A_PublicPower,,3,-1.286359692,53.71884383,0.842,NA,NA,NA,NA,NA,NA,NA,NA,0.0155,NA,NA,NA,NA
40655_Dunbar ERF,A_PublicPower,,2,-2.46304733,55.97522078,0.3774814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40717_Kings Lynn Power Station,A_PublicPower,,1,0.3819887967,52.72759627,0.22135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4090_Rainham Phase II,A_PublicPower,,1,0.1986958729,51.49198383,0.1130461161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41304_Javelin Park Energy Recovery Facility,A_PublicPower,,1,-2.293082545,51.79249855,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41306_Teesside EfW Plant,A_PublicPower,,3,-1.258618087,54.59541178,0.6850895,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA
41316_Beddington ERF,A_PublicPower,,1,-0.143509691,51.40045726,0.39,NA,NA,NA,NA,NA,NA,NA,NA,0.0169,NA,NA,NA,NA
41330_Kemsley Generating Station,A_PublicPower,,2,0.7583854631,51.3655139,0.711903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41333_Chilton Biomass Plant,A_PublicPower,,1,-1.565223288,54.66780632,0.1214674527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41341_Ince Bio Power,A_PublicPower,,2,-2.800620021,53.28352739,0.197862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41346_Templeborough Biomass Power Plant,A_PublicPower,,2,-1.372180736,53.42161735,0.2230422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41353_Ellesmere Port Incinerator,A_PublicPower,,2,-2.866497393,53.27836553,0.116294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41361_Ardley ERF,A_PublicPower,,2,-1.215423756,51.9329555,0.43495897,NA,NA,NA,NA,NA,NA,NA,NA,0.01893,NA,NA,NA,NA
41381_Runcorn EfW Facility,A_PublicPower,,3,-2.754610934,53.32910468,1.14756,NA,NA,NA,NA,NA,NA,NA,NA,0.0176,NA,NA,NA,NA
4171_Davyhulme CHP at Davyhulme WWTW,A_PublicPower,,1,-2.372000231,53.46376352,0.1711837166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4311_Huddersfield,A_PublicPower,,2,-1.777690241,53.65630766,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43110_West Burton B CCGT Power Station,A_PublicPower,,2,-0.8115363259,53.3607239,1.08,NA,NA,NA,NA,NA,0.555,NA,NA,NA,NA,NA,NA,NA
43123_Peterhead Power Station,A_PublicPower,,4,-1.788375005,57.47788542,0.327366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43124_Lerwick Power Station,A_PublicPower,,2,-1.164294251,60.16656628,1.5118,NA,0.2783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43185_Severn Road Resource Recovery Centre EfW Facility,A_PublicPower,,2,-2.66743191,51.53230543,0.5349203,NA,NA,NA,NA,NA,NA,NA,NA,0.0221,NA,NA,NA,NA
43286_Dudley EfW,A_PublicPower,,1,-2.081564375,52.49977476,0.120379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43288_Stoke EfW,A_PublicPower,,2,-2.182735404,52.98788495,0.17213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43289_Waste to Energy Plant Crown Street,A_PublicPower,,2,-2.124560773,52.59763677,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43303_Newhurst Quarry Energy Recovery Facility,A_PublicPower,,1,-1.276845206,52.75830268,0.40126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43309_Rookery Pit Energy Recovery Facility,A_PublicPower,,1,-0.52365728,52.06145456,0.8436945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43383_Sleaford Renewable Energy Plant,A_PublicPower,,2,-0.3836730967,52.99951702,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6767_Calvert Phase II - A,A_PublicPower,,1,-0.9530692572,51.94523809,0.1600239201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6812_Avondale Power Station,A_PublicPower,,1,-3.681217423,55.98259466,0.1051179187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6991_Marchwood,A_PublicPower,,2,-1.438271664,50.89802698,0.153937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7495_Pitsea Methane Conversion Plant,A_PublicPower,,1,0.5101683308,51.53981481,0.1370801972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
