Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,total_co2_kgCO2e_per_year,Solar_commission_kgCO2e,Wind_commission_kgCO2e,Hydro_commission_kgCO2e,Nuclear_commission_kgCO2e,Biomass_commission_kgCO2e,Solar_co2_saving_kgCO2e_per_year,Wind_co2_saving_kgCO2e_per_year,Hydro_co2_saving_kgCO2e_per_year,Nuclear_co2_saving_kgCO2e_per_year,Biomass_co2_saving_kgCO2e_per_year
Calon Energy,Severn Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,850.0,LV,England,0,,,333250.0,185006.0,2010,1017579580.4909576,80044500.0,38719200.0,78183000.0,85182240.0,282650160.0,937535080.4909576,978860380.4909576,939396580.4909576,932397340.4909576,734929420.4909576
Co-owned by SSE Group and Cheung Kong Infrastructure Ltd,Seabank Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,1234.0,HV,England,South West,,,343425.0,161749.0,2000,1477286120.3833435,116205780.0,56211168.0,113503320.0,123664569.6,410341526.4,1361080340.3833435,1421074952.3833435,1363782800.3833435,1353621550.7833436,1066944593.9833435
Co-owned by SSE Group and Wheelabrator Technologies Inc,FM1,Bioenergy,Bioenergy,No,MSW,,79.0,LV,England,Yorkshire and the Humber,,,447490.0,424684.0,2015,16870051.684635647,7439430.0,3598608.0,7266420.0,7916937.6,26269838.4,9430621.684635647,13271443.684635647,9603631.684635647,8953114.084635647,-9399786.715364352
Co-owned by SSE Group and Wheelabrator Technologies Inc,FM2,Bioenergy,Bioenergy,No,MSW,,79.0,LV,England,Yorkshire and the Humber,,,447490.0,424684.0,2019,16870051.684635647,7439430.0,3598608.0,7266420.0,7916937.6,26269838.4,9430621.684635647,13271443.684635647,9603631.684635647,8953114.084635647,-9399786.715364352
Energy Capital Partners,Saltend Power Station,Fossil Fuel,CCGT,Yes,Natural Gas,,1200.0,HV,England,Yorkshire and the Humber,HU128GA,,509793.0,428825.0,2000,1436582937.163705,113004000.0,54662400.0,110376000.0,120257280.0,399035520.0,1323578937.163705,1381920537.163705,1326206937.163705,1316325657.163705,1037547417.1637051
Energy Capital Partners,Indian Queens Power Ltd,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,140.0,HV,England,South West,,SW940591,191739.0,58385.0,1996,71648272.58855422,13183800.0,6377280.0,12877200.0,14030016.0,46554144.0,58464472.58855422,65270992.58855422,58771072.58855422,57618256.58855422,25094128.58855422
EPUKi,EP SHB LTD,Fossil Fuel,CCGT,No,Natural Gas,,1365.0,HV,England,Yorkshire and the Humber,DN418BZ,,520457.0,409164.0,1997,1634113091.0237143,128542050.0,62178480.0,125552700.0,136792656.0,453902904.0,1505571041.0237143,1571934611.0237143,1508560391.0237143,1497320435.0237143,1180210187.0237143
EPUKi,EP Ballylumford CCGT,Fossil Fuel,CCGT,No,Natural Gas,,616.0,HV,Northern Ireland,Northern Ireland,BT403RS,,156969.0,556595.0,2003,737445907.7440354,58008720.0,28060032.0,56659680.0,61732070.4,204838233.6,679437187.7440354,709385875.7440354,680786227.7440354,675713837.3440354,532607674.14403534
EPUKi,EP Langage Ltd,Fossil Fuel,CCGT,No,Natural Gas,,905.0,HV,England,South West,PL75AW,,257085.0,56194.0,2010,1083422965.110961,85223850.0,41224560.0,83241900.0,90694032.0,300939288.0,998199115.110961,1042198405.110961,1000181065.110961,992728933.110961,782483677.110961
EPUKi,EP Ballylumford,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,116.0,HV,Northern Ireland,Northern Ireland,BT403RS,,156969.0,556595.0,1974,59365711.57337349,10923720.0,5284032.0,10669680.0,11624870.4,38573433.6,48441991.57337349,54081679.57337349,48696031.57337349,47740841.17337349,20792277.973373488
ESB,Corby Power Station,Fossil Fuel,CCGT,No,Natural Gas,,407.0,HV,England,East Midlands,,,488447.0,266932.0,1994,487241046.1880232,38327190.0,18539664.0,37435860.0,40787260.8,135339547.2,448913856.1880232,468701382.1880232,449805186.1880232,446453785.3880232,351901498.9880232
ESB,CoolkeeraghESB C30,Fossil Fuel,CCGT,No,Natural Gas,,413.0,HV,Northern Ireland,Northern Ireland,BT476UL,,64846.0,584768.0,2004,494423960.8738419,38892210.0,18812976.0,37987740.0,41388547.2,137334724.8,455531750.8738419,475610984.8738419,456436220.8738419,453035413.6738419,357089236.07384187
ESB,Carrington Power,Fossil Fuel,CCGT,No,Natural Gas,,910.0,HV,England,North West,M314AY,,373287.0,393037.0,2016,1089408727.349143,85694700.0,41452320.0,83701800.0,91195104.0,302601936.0,1003714027.349143,1047956407.349143,1005706927.349143,998213623.349143,786806791.349143
ESB,CoolkeeraghESB GT8,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,53.0,HV,Northern Ireland,Northern Ireland,BT476UL,,64846.0,584768.0,1970,27123988.908524096,4991010.0,2414256.0,4874940.0,5311363.2,17624068.8,22132978.908524096,24709732.908524096,22249048.908524096,21812625.708524097,9499920.108524095
Intergen,Rocksavage Power Company Ltd ,Fossil Fuel,CCGT,No,Natural Gas,,810.0,HV,England,North West,,,352414.0,377661.0,1998,969693482.5855008,76277700.0,36897120.0,74503800.0,81173664.0,269348976.0,893415782.5855008,932796362.5855008,895189682.5855008,888519818.5855008,700344506.5855008
Intergen,Coryton Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,800.0,HV,England,South East,,,565166.0,178798.0,2002,957721958.1091367,75336000.0,36441600.0,73584000.0,80171520.0,266023680.0,882385958.1091367,921280358.1091367,884137958.1091367,877550438.1091367,691698278.1091367
Intergen,Spalding Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,950.0,HV,England,East Midlands,,,524944.0,320245.0,2004,1137294825.2546,89461500.0,43274400.0,87381000.0,95203680.0,315903120.0,1047833325.2546,1094020425.2546,1049913825.2546,1042091145.2546,821391705.2546
Intergen,Spalding Expansion OCGT ,Fossil Fuel,CCGT,,Natural Gas,,300.0,,England,East Midlands,PE11 3BB,,,,2019,359145734.2909263,28251000.0,13665600.0,27594000.0,30064320.0,99758880.0,330894734.2909263,345480134.2909263,331551734.2909263,329081414.2909263,259386854.29092628
LondonEnergy,Londonwaste Ltd,Bioenergy,Bioenergy,No,MSW,,58.0,LV,England,London,N183AG,,535050.0,192550.0,1970,12385607.565935032,5461860.0,2642016.0,5334840.0,5812435.2,19286716.8,6923747.565935032,9743591.565935032,7050767.565935032,6573172.365935032,-6901109.234064968
Marchwood Power,Marchwood Power,Fossil Fuel,CCGT,No,Natural Gas,,898.0,HV,England,South East,SO404BD,,438274.0,108147.0,2009,1075042897.977506,84564660.0,40905696.0,82598040.0,89992531.2,298611580.8,990478237.9775059,1034137201.9775059,992444857.9775059,985050366.7775059,776431317.177506
