Site Name,species_before,annual_rainfall
Severn Power Ltd,1646.0,1050.1
Seabank Power Ltd,1039.0,999.3
FM1,760.0,798.1
FM2,760.0,798.1
Saltend Power Station,2003.0,750.8
Indian Queens Power Ltd,373.0,1182.5
EP SHB LTD,189.0,747.9
EP Ballylumford CCGT,804.0,1110.1
EP Langage Ltd,712.0,1431.6
EP Ballylumford,804.0,1110.1
Corby Power Station,727.0,709.7
CoolkeeraghESB C30,123.0,1143.6
Carrington Power,1004.0,1140.5
CoolkeeraghESB GT8,123.0,1143.6
Rocksavage Power Company Ltd ,1323.0,1016.9
Coryton Energy Company Ltd,829.0,688.9
Spalding Energy Company Ltd,448.0,704.4
Spalding Expansion OCGT ,,
Londonwaste Ltd,2015.0,713.8
Marchwood Power,936.0,886.2
Fellside CHP,342.0,1898.2
Peterborough Power Station,1104.0,689.5
Croydon,,
Derby,,
Exeter,,
Heartlands,,
Peterborough Power Station PPL2 Gas Engines,,
Thornhill,,
Viking,,
Riverside - Energy from Waste,1294.0,691.5
Little Barford,769.0,681.7
Kings Lynn,,
Didcot B,833.0,800.0
Cheshire,,
Great Yarmouth,992.0,800.0
Hythe,,
Staythorpe,545.0,800.0
Pembroke,451.0,800.0
Grimsby,,
Didcot GT,833.0,800.0
Cowes,1153.0,800.0
Little Barford GT,769.0,800.0
Wilton 11,796.0,800.0
Wilton International ,378.0,800.0
Peterhead,410.0,800.0
Keadby,108.0,800.0
Medway,382.0,800.0
Burghfield,613.0,800.0
Chickerell,889.0,800.0
Keadby 2,,
Bowmore,511.0,800.0
Kirkwall,511.0,800.0
Stornoway,476.0,800.0
Lerwick,377.0,1142.7
Tiree,283.0,1397.0
Loch Carnan,349.0,1449.3
Barra,215.0,1379.2
Arnish,488.0,1235.8
West Burton CCGT,555.0,743.0
Ratcliffe (Steam),1017.0,738.8
Killingholme,379.0,750.5
Connahs Quay,766.0,975.8
Cottam Development Centre,1056.0,754.6
Enfield,2562.0,720.9
Grain,424.0,695.0
Ratcliffe (OCGT),1017.0,738.8
Taylors Lane,1145.0,737.5
Grain (OCGT),4.0,956.9
SELCHP,2432.0,695.3
Runcorn Energy from Waste,1763.0,1016.9
Rye House,1182.0,706.4
Damhead Creek,553.0,670.1
Shoreham,1082.0,884.7
Blackburn,682.0,1382.9
VPI,202.0,800.0
