Site Name,Primary Fuel,Capacity MW,CO2_Total CO2 per year,CO2_Solar saving,CO2_Wind saving,CO2_Hydro saving,CO2_Nuclear saving,CO2_Biomass saving,Water_Consumption litres/yr,Water_Solar saving,Water_Wind saving,Water_Hydro saving,Water_Nuclear saving,Water_Biomass saving,Emissions_NOX kg,Emissions_SOX kg,Emissions_CH4 kg,Emissions_Solar NOX saving,Emissions_Wind NOX saving,Emissions_Hydro NOX saving,Emissions_Nuclear NOX saving,Emissions_Biomass NOX saving,Emissions_Solar SOX saving,Emissions_Wind SOX saving,Emissions_Hydro SOX saving,Emissions_Nuclear SOX saving,Emissions_Biomass SOX saving,Emissions_Solar CH4 saving,Emissions_Wind CH4 saving,Emissions_Hydro CH4 saving,Emissions_Nuclear CH4 saving,Emissions_Biomass CH4 saving,Land_Site ha,Land_Solar net land,Land_Wind net land,Land_Hydro net land,Land_Nuclear net land,Land_Biomass net land
Severn Power Ltd,Natural Gas,850.0,1017579580.4909576,937535080.4909576,978860380.4909576,939396580.4909576,932397340.4909576,734929420.4909576,885329400.0,885329400.0,885329400.0,881010720.0,-2016823560.0,-1502900640.0,,,,,,,,,,,,,,,,,,,1.2,-1698.8,-228.3,-7.3,-287.8,-848.8
Seabank Power Ltd,Natural Gas,1234.0,1477286120.3833437,1361080340.3833437,1421074952.3833437,1363782800.3833437,1353621550.7833436,1066944593.9833436,1285289975.9999998,1285289975.9999998,1285289975.9999998,1279020268.7999997,-2927953262.3999996,-2181858105.5999994,,,,,,,,,,,,,,,,,,,11.9,-2456.1,-321.3,-0.4,-407.7,-1222.1
FM1,MSW,79.0,16870051.684635647,9430621.684635649,13271443.684635649,9603631.684635649,8953114.084635647,-9399786.715364352,306158496.0,306158496.0,306158496.0,305604864.0,-65882208.0,0.0,,,,,,,,,,,,,,,,,,,23.9,-134.1,2.6,23.1,-3.0,-55.1
FM2,MSW,79.0,16870051.684635647,9430621.684635649,13271443.684635649,9603631.684635649,8953114.084635647,-9399786.715364352,306158496.0,306158496.0,306158496.0,305604864.0,-65882208.0,0.0,,,,,,,,,,,,,,,,,,,23.9,-134.1,2.6,23.1,-3.0,-55.1
Saltend Power Station,Natural Gas,1200.0,1436582937.163705,1323578937.163705,1381920537.163705,1326206937.163705,1316325657.163705,1037547417.1637052,1249876800.0,1249876800.0,1249876800.0,1243779840.0,-2847280320.0,-2121742080.0,,,,,,,,,,,,,,,,,,,3.3,-2396.7,-320.7,-8.7,-404.7,-1196.7
Indian Queens Power Ltd,Diesel/Gas Oil,140.0,71648272.58855422,58464472.58855422,65270992.58855422,58771072.58855422,57618256.58855422,25094128.58855422,0.0,0.0,0.0,-220752.0,-148345344.0,-122075856.0,,,,,,,,,,,,,,,,,,,21.6,-258.4,-16.2,20.2,-26.0,-118.4
EP SHB LTD,Natural Gas,1365.0,1634113091.0237143,1505571041.0237143,1571934611.0237143,1508560391.0237143,1497320435.0237143,1180210187.0237143,1421734859.9999998,1421734859.9999998,1421734859.9999998,1414799567.9999998,-3238781363.999999,-2413481616.0,,,,,,,,,,,,,,,,,,,136.5,-2593.5,-232.1,122.8,-327.6,-1228.5
EP Ballylumford CCGT,Natural Gas,616.0,737445907.7440354,679437187.7440354,709385875.7440354,680786227.7440354,675713837.3440354,532607674.14403534,641603424.0,641603424.0,641603424.0,638473651.2,-1461603897.6,-1089160934.4,646000.0,,,646000.0,646000.0,646000.0,646000.0,-918886.4,,,,,,,,,,,34.7,-1197.3,-131.6,28.5,-174.7,-581.3
EP Langage Ltd,Natural Gas,905.0,1083422965.110961,998199115.110961,1042198405.110961,1000181065.110961,992728933.110961,782483677.110961,942615420.0,942615420.0,942615420.0,938017296.0,-2147323908.0,-1600147152.0,,,,,,,,,,,,,,,,,,,22.8,-1787.2,-221.6,13.8,-284.9,-882.2
EP Ballylumford,Diesel/Gas Oil,116.0,59365711.57337349,48441991.57337349,54081679.57337349,48696031.57337349,47740841.17337349,20792277.973373488,0.0,0.0,0.0,-182908.8,-122914713.6,-101148566.4,646000.0,,,646000.0,646000.0,646000.0,646000.0,554545.6,,,,,,,,,,,34.7,-197.3,3.4,33.5,-4.7,-81.3
